Title,Current_Price,Original_Price,Exchange_Price,Ratings,Review_count,url
Godrej 6.5 kg Fully Automatic Top Load Grey,"$12,925","$21,700", , , ,https://www.flipkart.com//godrej-6-5-kg-fully-automatic-top-load-grey/p/itm0c2339d09fbd6?pid=WMNFK4SH6DWEQKGR&lid=LSTWMNFK4SH6DWEQKGROY0SI3&marketplace=FLIPKART&srno=s_16_384&otracker=search&otracker1=search&fm=organic&iid=68a42ea7-7a36-4280-b8b6-3193f05dcefb.WMNFK4SH6DWEQKGR.SEARCH&ssid=971aewntq80000001610689335858&qH=b3522a5e7056c9c0
"Godrej 9.5 kg Semi Automatic Top Load White, Grey","$15,279","$17,500", ,4.5,35 Reviews,https://www.flipkart.com//godrej-9-5-kg-semi-automatic-top-load-white-grey/p/itm347a92574dbbb?pid=WMNFGGSBTKQ66XHZ&lid=LSTWMNFGGSBTKQ66XHZRE1LZQ&marketplace=FLIPKART&srno=s_17_385&otracker=search&otracker1=search&fm=organic&iid=5d0b61d4-471a-47df-ba14-f8927e295bc1.WMNFGGSBTKQ66XHZ.SEARCH&ssid=rntx21rsw00000001610689337763&qH=b3522a5e7056c9c0
LG 7 kg Fully Automatic Top Load Silver,"$20,990","$23,990", ,4.2,14 Reviews,https://www.flipkart.com//lg-7-kg-fully-automatic-top-load-silver/p/itm5a93d8cecd3d9?pid=WMNFTW2TTVGNXSGK&lid=LSTWMNFTW2TTVGNXSGKKWHOJI&marketplace=FLIPKART&srno=s_17_386&otracker=search&otracker1=search&fm=organic&iid=5d0b61d4-471a-47df-ba14-f8927e295bc1.WMNFTW2TTVGNXSGK.SEARCH&ssid=rntx21rsw00000001610689337763&qH=b3522a5e7056c9c0
Bosch 6.5 kg Fully Automatic Front Load with In-built Heater Silver,"$29,449","$35,299", ,4.5,6 Reviews,https://www.flipkart.com//bosch-6-5-kg-fully-automatic-front-load-in-built-heater-silver/p/itm29da054781f5a?pid=WMNF7AQRFXRFPYK7&lid=LSTWMNF7AQRFXRFPYK7BKICAP&marketplace=FLIPKART&srno=s_17_387&otracker=search&otracker1=search&fm=organic&iid=5d0b61d4-471a-47df-ba14-f8927e295bc1.WMNF7AQRFXRFPYK7.SEARCH&ssid=rntx21rsw00000001610689337763&qH=b3522a5e7056c9c0
Godrej 6.5 kg Fully Automatic Top Load Maroon,"$15,060","$18,950", ,4.1,177 Reviews,https://www.flipkart.com//godrej-6-5-kg-fully-automatic-top-load-maroon/p/itm60339c535f940?pid=WMNDY9RWQWCWTGFE&lid=LSTWMNDY9RWQWCWTGFE0EBFNZ&marketplace=FLIPKART&srno=s_17_388&otracker=search&otracker1=search&fm=organic&iid=5d0b61d4-471a-47df-ba14-f8927e295bc1.WMNDY9RWQWCWTGFE.SEARCH&ssid=rntx21rsw00000001610689337763&qH=b3522a5e7056c9c0
Samsung 6.5 kg Fully Automatic Top Load Silver,"$21,800","$24,490","$3,200",4.2,2 Reviews,https://www.flipkart.com//samsung-6-5-kg-fully-automatic-top-load-silver/p/itmbdad86fece1a7?pid=WMNF8ADWESRCHXUZ&lid=LSTWMNF8ADWESRCHXUZCTNKTG&marketplace=FLIPKART&srno=s_17_389&otracker=search&otracker1=search&fm=organic&iid=5d0b61d4-471a-47df-ba14-f8927e295bc1.WMNF8ADWESRCHXUZ.SEARCH&ssid=rntx21rsw00000001610689337763&qH=b3522a5e7056c9c0
Samsung 7 kg Fully Automatic Front Load Grey,"$37,890","$43,400", , , ,https://www.flipkart.com//samsung-7-kg-fully-automatic-front-load-grey/p/itmf20c32f0a985f?pid=WMNFRGAMBMANUPHR&lid=LSTWMNFRGAMBMANUPHRR3UBSG&marketplace=FLIPKART&srno=s_17_390&otracker=search&otracker1=search&fm=organic&iid=5d0b61d4-471a-47df-ba14-f8927e295bc1.WMNFRGAMBMANUPHR.SEARCH&ssid=rntx21rsw00000001610689337763&qH=b3522a5e7056c9c0
IFB 7.5 kg Fully Automatic Front Load with In-built Heater White,"$37,515","$38,390", ,3.7,1 Reviews,https://www.flipkart.com//ifb-7-5-kg-fully-automatic-front-load-in-built-heater-white/p/itma48c172d5d60e?pid=WMNFCF8HCVNN77Z6&lid=LSTWMNFCF8HCVNN77Z6RPJXNM&marketplace=FLIPKART&srno=s_17_391&otracker=search&otracker1=search&fm=organic&iid=5d0b61d4-471a-47df-ba14-f8927e295bc1.WMNFCF8HCVNN77Z6.SEARCH&ssid=rntx21rsw00000001610689337763&qH=b3522a5e7056c9c0
Samsung 6.5 kg Fully Automatic Front Load with In-built Heater Silver,"$32,990","$35,400", ,5,1 Reviews,https://www.flipkart.com//samsung-6-5-kg-fully-automatic-front-load-in-built-heater-silver/p/itm663c1037c7027?pid=WMNFGGZGJS5PNVTQ&lid=LSTWMNFGGZGJS5PNVTQRZMARH&marketplace=FLIPKART&srno=s_17_392&otracker=search&otracker1=search&fm=organic&iid=5d0b61d4-471a-47df-ba14-f8927e295bc1.WMNFGGZGJS5PNVTQ.SEARCH&ssid=rntx21rsw00000001610689337763&qH=b3522a5e7056c9c0
Whirlpool 7 kg Fully Automatic Front Load White,"$26,947","$33,569", ,4,10 Reviews,https://www.flipkart.com//whirlpool-7-kg-fully-automatic-front-load-white/p/itmc2fd8f38961ea?pid=WMNEZQEUVBXZGYDU&lid=LSTWMNEZQEUVBXZGYDUKTF4VB&marketplace=FLIPKART&srno=s_17_393&otracker=search&otracker1=search&fm=organic&iid=5d0b61d4-471a-47df-ba14-f8927e295bc1.WMNEZQEUVBXZGYDU.SEARCH&ssid=rntx21rsw00000001610689337763&qH=b3522a5e7056c9c0
